icici_code,nse_symbol,company_name,series,isin_code,group,group_source,industry,industry_source,nifty_company_name,nse_macro,nse_sector,nse_industry_info,nse_basic_industry
20MICR,20MICRONS,20 Microns Limited,EQ,INE144J01027,20 Microns Group,corporate_group_repository.xlsx,Industrial Minerals,nse_getSymbolData.basicIndustry,,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
3IINFO,3IINFOLTD,3i Infotech Limited,EQ,INE748C01038,3i Group,corporate_group_repository.xlsx,Computers - Software & Consulting,nse_getSymbolData.basicIndustry,,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
3IIRE1,3IINFO-RE,3i Infotech Ltd Re,BE,INE748C20012,,,Computers - Software & Consulting,nse_getSymbolData.basicIndustry,,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
3MIND,3MINDIA,3m India Limited,EQ,INE470A01017,3M (F) Group,corporate_group_repository.xlsx,Diversified,ind_niftytotalmarket_list.csv,3M India Ltd.,,,,
5PACAP,5PAISA,Five Paisa Capital Limited,EQ,INE618L01018,IIFL Group,corporate_group_repository.xlsx,Stockbroking & Allied,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
8KMILE,SECURKLOUD,Securekloud Technologies Ltd,EQ,INE650K01021,Securekloud Technologies Group,corporate_group_repository.xlsx,IT Enabled Services,nse_getSymbolData.basicIndustry,,Information Technology,Information Technology,IT - Services,IT Enabled Services
A1CHAM,AICHAMP,Ai Champdany Industries Limite,BE,INE768E01024,Pujara group,corporate_group_repository.xlsx,TEXTILES,nse_getSymbolData.basicIndustry,,CONSUMER,TEXTILES,TEXTILE PRODUCTS,TEXTILES
A2ZMAI,A2ZINFRA,A2z Infra Engineering Limited,BE,INE619I01012,A2Z Group,corporate_group_repository.xlsx,Diversified Commercial Services,nse_getSymbolData.basicIndustry,,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
AAATEC,AAATECH,Aaa Technologies Limited,EQ,INE0D0U01013,A A A Technologies Group,corporate_group_repository.xlsx,Consulting Services,nse_getSymbolData.basicIndustry,,Services,Services,Commercial Services & Supplies,Consulting Services
AADHOS,AADHARHFC,Aadhar Housing Finance Limited,EQ,INE883F01010,,,Financial Services,ind_niftytotalmarket_list.csv,Aadhar Housing Finance Ltd.,,,,
AAKEXP,AAKASH,Aakash Exploration Serv Ltd,BE,INE087Z01024,Aakash Exploration Group,corporate_group_repository.xlsx,Offshore Support Solution Drilling,nse_getSymbolData.basicIndustry,,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling
AARDEN,VGL,Varvee Global  Limited,EQ,INE273D01027,,,Other Textile Products,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AARDR,AAREYDRUGS,Aarey Drugs & Pharmaceuticals,EQ,INE198H01019,Aarey Group,corporate_group_repository.xlsx,Pharmaceuticals,nse_getSymbolData.basicIndustry,,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARDRU,AARTIDRUGS,Aarti Drugs Limited,EQ,INE767A01016,Aarti Drugs Group,corporate_group_repository.xlsx,Healthcare,ind_niftytotalmarket_list.csv,Aarti Drugs Ltd.,,,,
AARENC,AARVI,Aarvi Encon Limited,EQ,INE754X01016,Aarvi Group,corporate_group_repository.xlsx,Diversified Commercial Services,nse_getSymbolData.basicIndustry,,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
AARIN,AARON,Aaron Industries Limited,EQ,INE721Z01010,Aaron Group,corporate_group_repository.xlsx,Industrial Products,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
AARIND,AARTIIND,Aarti Industries Ltd,EQ,INE769A01020,Aarti Group,corporate_group_repository.xlsx,Chemicals,ind_niftytotalmarket_list.csv,Aarti Industries Ltd.,,,,
AARPHA,AARTIPHARM,Aarti Pharmalabs Limited,EQ,INE0LRU01027,Aarti Group,corporate_group_repository.xlsx,Healthcare,ind_niftytotalmarket_list.csv,Aarti Pharmalabs Ltd.,,,,
AARRE1,AARTI-RE,Aarti Surfactants Limited Re,BE,INE09EO20013,,,Specialty Chemicals,nse_getSymbolData.basicIndustry,,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AARSOL,AARTECH,Aartech Solonics Ltd,EQ,INE01C001026,,,Heavy Electrical Equipment,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
AARSUR,AARTISURF,Aarti Surfactants Limited,EQ,INE09EO01013,Aarti Surfactants Group,corporate_group_repository.xlsx,Specialty Chemicals,nse_getSymbolData.basicIndustry,,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AASTRA,TCC,Tcc Concept Limited,EQ,INE887D01016,T C C Concept Group,corporate_group_repository.xlsx,Internet & Catalogue Retail,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
AAVFIN,AAVAS,Aavas Financiers Limited,EQ,INE216P01012,Kedaara Capital & Partners Group,corporate_group_repository.xlsx,Financial Services,ind_niftytotalmarket_list.csv,Aavas Financiers Ltd.,,,,
ABAHOL,AFSL,Abans Financial Services Ltd,EQ,INE00ZE01026,Abans Group,corporate_group_repository.xlsx,Holding Company,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Finance,Holding Company
ABAOFF,ABAN,Aban Offshore Ltd,BE,INE421A01028,Aban group,corporate_group_repository.xlsx,Offshore Support Solution Drilling,nse_getSymbolData.basicIndustry,,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling
ABB,ABB,Abb India Limited,EQ,INE117A01022,Asea Brown Boveri (F) Group,corporate_group_repository.xlsx,Capital Goods,ind_niftytotalmarket_list.csv,ABB India Ltd.,,,,
ABBIND,ABBOTINDIA,Abbott India Limited,EQ,INE358A01014,Abbott (F) Group,corporate_group_repository.xlsx,Healthcare,ind_niftytotalmarket_list.csv,Abbott India Ltd.,,,,
ABBLAB,PHARMACIA,Pharmacia Healthcare Ltd,EQ,INE252B01025,,,,,,,,,
ABBPOW,POWERINDIA,Hitachi Energy India Limited,EQ,INE07Y701011,Hitachi Energy Group,corporate_group_repository.xlsx,Capital Goods,ind_niftytotalmarket_list.csv,Hitachi Energy India Ltd.,,,,
ABCBEA,ANTFRIBEAR,Abc Bearings Ltd,EQ,INE779A01011,,,,,,,,,
ABHCOR,ABHISHEK,Abhishek Corporation Limited,BE,INE004I01017,Abhishek Corpn. Group,corporate_group_repository.xlsx,SPINNING-COTTON/BLENDED,nse_getSymbolData.basicIndustry,,CONSUMER,TEXTILES,TEXTILES - COTTON,SPINNING-COTTON/BLENDED
ABINF,ABINFRA,A B Infrabuild Limited,EQ,INE00YB01025,,,Civil Construction,nse_getSymbolData.basicIndustry,,Industrials,Construction,Construction,Civil Construction
ABIRE1,ABIN-RE1,A B Infrabuild Limited Re,BE,INE00YB20025,,,Civil Construction,nse_getSymbolData.basicIndustry,,Industrials,Construction,Construction,Civil Construction
ABMINT,ABMINTLLTD,Abm International Limited,BE,INE251C01025,ABM International,corporate_group_repository.xlsx,,,,,,,
